ID	entrezID
SFRS4	6429
CBX4	8535
SFRS9	8683
AGBL2	79841
OLA1	29789
PSME3	10197
S100A7	6278
MFAP4	4239
GLTSCR1	29998
C1ORF38	9473
ACIN1	22985
CDC2L1	419406
ATAD5	79915
AP3B1	8546
HDGF2	84717
HIST1H2AD	3013
SETD1A	9739
LUZP1	7798
PWWP2B	170394
BRD4	23476
POLR2L	5441
KPNA1	3836
BRD3	8019
HRG	3273
TCOF1	6949
RBM25	58517
DDX21	9188
AFF1	4299
CHD8	57680
SRRM1	10250
BRD2	6046
CDC5L	988
CHD9	80205
CTR9	9646
CWC22	57703
PRPF40A	55660
MAG	4099
HIST2H2BA	337875
PNN	5411
DDX46	9879
IK	3550
AFF4	27125
H2AFX	3014
ZBED4	9889
MED1	5469
COIL	8161
GTF2F1	2962
ASXL2	55252
MLLT1	4298
ZC3H18	124245
RFC1	5981
NFRKB	4798
RFC4	5984
IWS1	55677
H3F3A	NA
NOLC1	9221
CCNT1	904
RTF1	23168
H2AFZ	3015
ELL	8178
HIST1H4A	8359
SFRS3	6428
FIP1L1	81608
DACH1	1602
TAF1	6872
ANKRD11	29123
LEO1	123169
DDX41	51428
RBM39	9584
PPP1R9B	84687
PHF3	23469
RPS15A	6210
RFC2	5982
RFC3	5983
BCLAF1	9774
CHD4	1108
SMARCA4	6597
RPS3A	6189
AFF2	2334
POGZ	23126
C21ORF66	94104
PAF1	54623
SMARCD1	6602
SDCCAG10	10283
WDR48	57599
HSPA8	3312
THRAP3	9967
RPS25	6230
NCL	4691
RFC5	5985
MYO1G	64005
RPL30	6156
EAF1	85403
KIF23	9493
MDC1	9656
COPA	1314
TFIP11	24144
CXXC1	30827
CDC73	79577
RNF2	6045
ZCCHC8	55596
LOC100133916	NA
MED26	9441
LOC100130553	NA
SFRS2	6427
ZRANB2	9406
RBBP5	5929
PARP2	10038
CSNK2A2	1459
PRPF6	24148
HELLS	3070
RPS16	6217
LOC27320	NA
INTS1	26173
UBTF	7343
SAP30BP	29115
ADAR	103
HSPA1A	3303
MED24	9862
CDK9	1025
SR140	233520
NUMA1	4926
SUB1	10923
TAPT1	202018
C16ORF80	29105
SSRP1	6749
MRE11A	NA
SUPT16H	11198
INTS6	26512
POLR2A	5430
ARGLU1	55082
SFRS5	6430
HNRNPUL2	221092
RPS20	6224
CSNK2B	1460
XRCC1	7515
RPS27A	6233
SUPT6H	6830
SFRS15	57466
MED17	9440
MSL3	10943
MPHOSPH8	54737
SNRNP200	23020
CYTSA	23384
WDR61	80349
MED14	9282
ENY2	56943
HCFC1	3054
MED11	400569
CSNK2A1	1457
INTS3	65123
SKIV2L2	23517
RPS13	6207
MED16	10025
MSH6	2956
NCBP1	4686
BAP1	8314
NAF1	92345
SPEN	23013
RPA1	6117
EFTUD2	9343
KIAA0892	23383
LIG3	3980
PRPF8	10594
PNKP	11284
POLR2B	5431
DIDO1	11083
TFRC	7037
ING1	3621
CHD1L	9557
PRPF31	26121
ADNP	23394
MED4	29079
WDR33	55339
POLR2J2	246721
HSPA5	3309
NBN	4683
RPS19	6223
ARS2	35539
VCP	7415
HSPA9	3313
UHRF1	29128
MFAP1	4236
MED31	51003
ABCE1	6059
TDP1	55775
SNRNP40	9410
RPS12	6206
MED23	9439
MED30	90390
TAF6	6878
SRRM2	23524
API5	8539
SIN3A	25942
SAP18	10284
XRCC6	2547
RAVER1	125950
EHMT1	79813
WIZ	58525
RBM14	10432
DDX5	1655
SAP130	79595
TMPO	7112
ARHGEF2	9181
NCOR1	9611
MSL2	55167
SFRS1	6426
EIF3L	51386
DHX9	1660
CPSF1	29894
RPA2	6118
XAB2	56949
PARP1	142
POLR2G	5436
SF3B2	10992
KHDRBS1	10657
MED22	6837
ZNF828	283489
EHMT2	10919
DHX15	1665
SAP30	8819
HCLS1	3059
SFRS7	6432
RBM10	8241
HIRA	7290
PLRG1	5356
AQR	9716
RAD50	10111
BCL7A	605
ACTR8	93973
XRCC5	7520
RPS5	6193
SMARCC1	6599
PPP1R12A	4659
TAF5	6877
CDKN2AIP	55602
MTA2	9219
CBFB	865
ZFR	51663
DNMT1	1786
OGT	8473
CPSF3L	54973
RPS10	6204
XRN2	22803
CEBPE	1053
MED27	9442
PRKDC	5591
DPY30	84661
RPRD2	23248
POLR2H	5437
FAM44A	259282
HNRNPUL1	11100
CWC15	51503
DDX17	10521
CPSF2	53981
BRMS1	25855
C1ORF103	55791
SPI1	6688
IKZF1	10320
HNRPLL	92906
AIM1	51151
ACTN4	81
MBD3	53615
U2AF1	7307
SSBP1	6742
AKAP8	10270
PABPC1	26986
TP53BP1	7158
SF3B3	23450
GTF3C4	9329
POLR2C	5432
LSD1	23028
SF1	7536
YEATS2	55689
DDX3X	1654
MYH9	4627
GATAD2B	57459
POLR2I	5438
SF3A1	10291
HDAC1	3065
LOC650788	NA
PHF5A	84844
BANF1	8815
HDAC2	3066
NHP2	55651
RPS14	6208
POLR2D	5433
SF3A2	8175
SNRPD1	6632
COPB1	1315
PCID2	55795
HNRNPAB	3182
DNTTIP1	116092
SMCHD1	23347
LMNB1	4001
TPM3	7170
RPSA	3921
BAG2	9532
ZNF326	284695
SF3B1	23451
CPSF3	51692
SF3B14	51639
WDR5	11091
DNAJC8	22826
EMD	2010
CCDC101	112869
NCKAP1L	3071
MED15	51586
HNRNPM	4670
APOBEC3B	9582
RALY	22913
RPS21	6227
LIMA1	51474
TRIM28	10155
MAD2L1	4085
PUF60	22827
CCDC75	253635
SFRS10	6434
GNB2L1	10399
STAG2	10735
ZMYM2	7750
SMARCC2	6601
CSTF2	1478
ARID1A	8289
IGKV1-5	28299
SF3A3	10946
POLR2E	5434
SF4	57794
HNRNPA3	220988
SMU1	55234
HSP90B1	7184
RBBP4	5928
CPSF4	10898
HSP90AA1	3320
FLNA	2316
PPP2R1A	5518
HNRPDL	9987
MPO	4353
HNRNPC	3183
SNRPB2	6629
GATAD2A	54815
SNRPD2	6633
RCC2	55920
U2AF2	11338
CBX3	11335
CCAR1	55749
TOX4	9878
CHERP	10523
EP400	57634
LOC284889	NA
ASH2L	9070
TCP1	6950
ILF3	3609
FLG2	388698
SMC1A	8243
GNAI2	2771
ARL6IP4	51329
