ID	entrezID
TOP2A	7153
TOP1	7150
SIRT2	22933
SIRT1	23411
NCOR2	9612
MEN1	4221
KMT2A	4297
KDM4E	390245
KDM4A	9682
KDM1A	23028
KAT2B	8850
KAT2A	2648
HDAC9	9734
HDAC8	55869
HDAC7	51564
HDAC6	10013
HDAC5	10014
HDAC4	9759
HDAC3 	NA
HDAC3	8841
HDAC2	3066
HDAC11	79885
HDAC10	83933
HDAC1 	NA
HDAC1	3065
EHMT2	10919
EHMT1	79813
EED	8726
CREBBP	1387
BRDT	676
BRD7	29117
BRD4	23476
BRD2	6046
BAZ2B	29994
TOP2B	7155
SIRT3	23410
SIRT2	22933
PLK3	1263
PLK2	10769
PLK1	5347
HDAC8	55869
HDAC6	10013
HDAC5	10014
HDAC4	9759
HDAC3	8841
HDAC2	3066
HDAC11	79885
HDAC10	83933
EP300	2033
BRD9	65980
BRD4	23476
BRD3	8019
